"year_p_name","year_p_year","year_p_Tm","year_p_Pk","year_p_Rk","year_p_college","year_p_Yrs","year_p_G","year_p_MP","year_p_PTS","year_p_TRB","year_p_AST","year_p_FG","year_p__3P","year_p_FT","year_p_MP_PG","year_p_PTS_PG","year_p_TRB_PG","year_p_AST_PG","year_p_WS_ADV","year_p_WS48_ADV","year_p_BPM_ADV","year_p_VORP_ADV"
"Bob Anderson","1950","TRI","","71","Loyola College in Maryland","","","","","","","","","","","","","","","","",""
"Warren Cartier","1950","WSC","","72","NC State","","","","","","","","","","","","","","","","",""
"Frank Comerford","1950","BLB","","73","La Salle","","","","","","","","","","","","","","","","",""
"Dale Barnstable","1950","BOS","","74","Kentucky","","","","","","","","","","","","","","","","",""
"Milt Whitehead","1950","CHS","","75","Nebraska","","","","","","","","","","","","","","","","",""
"Ed Jones","1950","FTW","","76","Tennessee","","","","","","","","","","","","","","","","",""
"Leon Blevins","1950","INO","","77","Arizona","1","2","","2","2","1",".250","",".000","","1.0","1.0","0.5","0.0","","",""
"Joe Hutton","1950","MNL","","78","Hamline University","2","120","723","302","187","115",".331","",".690","12.1","2.5","1.6","1.0","2.2",".102","",""
"Dan Bagley","1950","NYK","","79","Notre Dame","","","","","","","","","","","","","","","","",""
"Charles Northup","1950","PHW","","80","Siena College","","","","","","","","","","","","","","","","",""
"Dan Kahler","1950","ROC","","81","Southwestern College","","","","","","","","","","","","","","","","",""
"Lou Arko","1950","SYR","","82","University of Akron","","","","","","","","","","","","","","","","",""
"Bill Erickson","1950","TRI","","83","Illinois","","","","","","","","","","","","","","","","",""
"Jim Cathcart","1950","WSC","","84","Arkansas","","","","","","","","","","","","","","","","",""
"George Bush","1950","BLB","","85","Toledo","","","","","","","","","","","","","","","","",""
"Frank Oftring","1950","BOS","","86","Holy Cross","","","","","","","","","","","","","","","","",""
"George King","1950","CHS","","87","University of Charleston","6","411","13408","4219","1606","1958",".382","",".642","32.6","10.3","3.9","4.8","31.4",".113","",""
"Billy Adcock","1950","FTW","","88","Vanderbilt","","","","","","","","","","","","","","","","",""
"Jerry Stuteville","1950","INO","","89","Indiana","","","","","","","","","","","","","","","","",""
"Nate Benson","1950","MNL","","90","Wisconsin-River Falls","","","","","","","","","","","","","","","","",""
"Charles Hope","1950","NYK","","91","Appalachian State University","","","","","","","","","","","","","","","","",""
"Brooks Ricca","1950","PHW","","92","Villanova","","","","","","","","","","","","","","","","",""
"Carl Kraushaar","1950","ROC","","93","UCLA","","","","","","","","","","","","","","","","",""
"Bob Healey","1950","SYR","","94","Georgia","","","","","","","","","","","","","","","","",""
"Loy Doty","1950","TRI","","95","Wyoming","","","","","","","","","","","","","","","","",""
"Joe Greenbach","1950","WSC","","96","Santa Clara","","","","","","","","","","","","","","","","",""
"Jack Laub","1950","BLB","","97","Cincinnati","","","","","","","","","","","","","","","","",""
"Bob Cope","1950","BOS","","98","Montana","","","","","","","","","","","","","","","","",""
"John Brown","1950","CHS","","99","Georgetown","","","","","","","","","","","","","","","","",""
"Al Henningsen","1950","FTW","","100","Northwest Missouri State University","","","","","","","","","","","","","","","","",""
"Gene Schmidt","1950","INO","","101","TCU","","","","","","","","","","","","","","","","",""
"Jim Reilly","1950","MNL","","102","Swarthmore College","","","","","","","","","","","","","","","","",""
"Don Heathington","1950","NYK","","103","Baylor","","","","","","","","","","","","","","","","",""
"Joe Kaufman","1950","PHW","","104","NYU","","","","","","","","","","","","","","","","",""
"Warren Switzer","1950","ROC","","105","Rice University","","","","","","","","","","","","","","","","",""
"Bob Savage","1950","SYR","","106","Syracuse","","","","","","","","","","","","","","","","",""
"Nate DeLong","1950","TRI","","107","Wisconsin-River Falls","1","17","132","64","31","14",".476","",".686","7.8","3.8","1.8","0.8","0.8",".309","",""
"Earl Lloyd","1950","WSC","","108","West Virginia State University","9","560","14477","4682","3609","810",".356","",".750","26.2","8.4","6.4","1.4","19.1",".062","",""
"Mike Zedalis","1950","BLB","","109","Loyola College in Maryland","","","","","","","","","","","","","","","","",""
"Matt Forman","1950","BOS","","110","Holy Cross","","","","","","","","","","","","","","","","",""
"Bud Schaeffer","1950","CHS","","111","Wheaton College","","","","","","","","","","","","","","","","",""
"Colin Anderson","1950","INO","","112","Georgia Tech","","","","","","","","","","","","","","","","",""
"Andy Butchko","1950","MNL","","113","Purdue","","","","","","","","","","","","","","","","",""
"Bernie Adams","1950","PHW","","114","Princeton","","","","","","","","","","","","","","","","",""
"Harry Foley","1950","ROC","","115","Niagara University","","","","","","","","","","","","","","","","",""
